Percentil,Slope 2y,Slope 6m,Slope 1m,Slope 6d,Volatilitat,Guany esperat,Perdua esperada,RSI14,RelVol30,Ticker
0,-0.005,-0.419,0.000,0.000,100,18,-34,100.0,-1.00,WFGDX
88,0.123,0.092,-0.337,-1.016,57,6,-119,33.6,0.89,^IXIC
94,0.124,0.114,-0.061,-1.089,45,2,-80,40.3,1.01,^GSPC
99,0.122,0.122,0.101,-0.168,37,1,-56,51.0,1.01,^DJI
76,0.122,-0.178,0.432,-1.257,84,23,-413,42.1,0.73,META
87,0.097,0.101,-0.378,0.197,78,17,-286,41.9,0.82,TSLA
88,0.095,-0.051,0.925,-1.147,52,16,-81,59.0,0.95,HPE
98,0.060,0.246,0.930,0.095,47,8,-76,77.1,0.72,PSX
98,0.101,0.190,1.946,0.090,51,6,-94,74.4,0.82,SU.PA
84,0.043,-0.007,-0.851,0.245,85,51,-352,45.6,0.97,RIOT
36,0.061,-0.347,0.126,-3.076,94,289,-331,49.3,0.61,SMCI
93,0.119,0.121,-0.184,-0.972,75,12,-255,23.4,1.06,GOOGL
68,0.059,-0.133,1.735,-2.528,79,107,-135,47.5,0.67,GME
95,-0.024,0.516,0.045,-0.976,67,16,-158,60.0,0.53,INTC
81,0.124,0.171,-0.450,-3.113,62,20,-117,34.0,1.29,IBM
64,0.120,0.033,-1.718,-1.502,67,28,-139,16.7,1.24,AMZN
89,0.077,0.053,-0.275,-0.742,64,22,-129,31.3,1.19,BABA
85,0.121,0.025,0.866,-1.016,46,8,-70,61.8,0.94,BRK-B
95,0.101,0.560,-0.096,-0.343,72,7,-235,47.1,0.79,LLY
86,0.126,0.020,-0.045,-0.636,87,27,-488,50.2,0.70,AVGO
100,0.125,0.149,0.116,0.073,66,0,-193,77.6,0.62,WMT
89,0.125,0.064,0.257,-2.273,63,11,-142,51.3,0.78,JPM
99,0.042,0.492,0.127,-0.026,38,5,-53,68.5,0.95,XOM
63,0.118,-0.092,-0.018,-1.202,44,19,-51,39.0,1.41,V
35,0.077,-0.042,-1.355,0.417,55,61,-37,29.2,1.23,QCOM
98,0.077,0.343,0.050,-0.088,62,3,-156,49.2,0.59,ASML
100,0.122,0.122,0.081,0.099,80,2,-395,66.2,0.69,TSM
91,0.123,0.061,0.003,-0.482,93,13,-1182,46.7,0.95,NVDA
100,0.022,0.389,0.112,0.281,100,0,-263,69.3,1.10,005930.KS
59,0.120,-0.310,-0.276,-0.417,78,74,-163,24.8,0.84,NFLX
41,0.111,-0.263,-2.358,-0.939,59,35,-81,24.9,0.89,MSFT
36,-0.080,-0.222,-1.066,0.778,62,66,-56,28.4,0.73,LPL
88,-0.069,0.519,-0.166,-1.100,76,34,-211,37.7,1.00,HLF
89,0.111,0.151,0.512,-1.794,56,12,-105,50.3,1.05,AAPL
61,-0.010,-0.007,-1.097,4.625,100,0,-0,42.8,-1.00,0P0000XV9S.BO
29,-0.075,0.231,0.523,-1.507,100,72,-26,43.3,0.82,2223.SR
47,0.077,-0.273,-1.488,-3.429,100,83,-274,47.9,0.65,BTC-EUR
6,0.040,-0.550,-0.534,0.549,100,382,-16,49.6,0.55,ADA-EUR
22,0.051,-0.404,-1.774,-2.003,100,145,-50,47.7,0.62,ETH-EUR
2,-0.066,-0.055,-0.341,0.199,100,16,-1,68.0,-1.00,EUR=X
99,0.122,0.133,0.045,-0.040,100,6,-177,48.2,7.26,GC=F
20,-0.093,-0.059,0.631,-0.653,100,47,-15,54.2,0.19,CL=F
30,-0.081,0.044,0.770,1.217,79,192,-66,75.2,0.75,CE
43,-0.018,-0.152,0.068,-2.875,67,76,-70,48.9,0.81,KRUS
53,0.060,0.157,-0.437,-0.760,89,105,-329,45.1,0.65,ANF
8,-0.081,-0.065,0.000,-0.000,81,337,-18,100.0,-1.00,DG3.BE
52,0.177,-0.120,-2.270,-0.593,86,94,-257,16.8,1.25,RDDT
72,0.102,-0.284,0.081,2.528,69,110,-53,72.2,0.00,VVVNF
29,-0.059,0.063,0.559,3.924,54,65,-32,70.7,1.80,CROX
75,-0.079,0.321,0.147,-0.112,70,36,-143,44.2,0.38,BAYN.DE
68,0.120,-0.059,-1.430,-0.336,61,35,-89,23.1,1.03,TTWO
