initial date: 2024-02-16, Fecha actual: 2026-02-16
percentil(%) , pendent2y, pendent6m, slope1m, slope6d, volatilitat(%) , guany esperat(%) , perdua max(%) , etiqueta
98,0.133,0.045,0.749,0.016,100,1,-16,EURUSD=X
97,0.135,0.032,0.860,0.022,100,1,-12,GBPUSD=X
73,-0.100,0.112,2.134,0.055,100,5,-10,NZDUSD=X
17,0.068,-0.280,-2.323,-0.186,100,8,-1,CAD=X
63,-0.013,0.496,-1.119,-5.835,100,5,-9,JPY=X
2,-0.154,-0.105,-0.552,-0.071,100,20,-1,CHF=X
100,-0.012,0.380,0.587,0.203,100,0,-19,AUDUSD=X
84,0.095,-0.009,0.150,0.142,100,2,-6,EURGBP=X
1,-0.153,-0.217,-0.442,-0.301,100,9,0,EURCHF=X
91,0.104,0.172,-0.146,-2.031,100,2,-17,EURJPY=X
93,0.104,0.239,-0.143,-1.609,100,2,-14,GBPJPY=X
51,0.139,-0.306,-0.529,-0.591,100,10,-4,EURAUD=X
81,0.170,-0.089,-0.463,-0.044,100,2,-11,EURCAD=X
98,-0.017,0.557,0.342,-0.427,100,2,-25,AUDJPY=X
80,-0.042,0.559,-0.058,-3.886,100,5,-11,CADJPY=X
97,0.140,0.166,0.112,-0.717,100,2,-20,CHFJPY=X
31,-0.176,-0.074,0.962,-1.488,100,35,-15,BZ=F
99,0.194,0.208,0.071,-0.051,100,6,-150,GC=F
95,0.186,0.198,-0.224,-0.368,100,50,-243,SI=F
95,0.142,0.465,0.044,-0.741,100,7,-51,HG=F
43,0.145,0.331,-2.318,-0.939,100,150,-89,NG=F
0,0.000,0.000,0.000,0.000,100,150,-89,^UUP-IV
0,0.124,-0.252,-2.166,-10.687,100,5,-21,^CLTBDIOOR
0,0.015,-0.208,-1.509,-10.497,100,21,-9,^CLTBGUCCI
0,0.031,0.183,-2.333,-9.357,100,27,-29,^CLTBZNITH
0,-0.096,-0.041,0.077,-4.338,100,38,-18,^CLTBVACRN
75,-0.046,0.182,1.283,0.525,100,0,-1,HKD=X
93,0.158,0.205,-0.348,-0.362,100,39,-134,PL=F
94,0.132,0.232,-0.302,-0.266,100,27,-108,PA=F
2,-0.137,-0.225,-0.141,-0.060,100,24,-7,ZAR=X
4,-0.140,-0.289,-0.003,0.367,100,48,-4,RUB=X
0,0.000,0.000,0.000,0.000,100,48,-4,CNH=X
43,-0.163,0.230,0.357,0.066,100,12,-8,AUDCHF=X
100,0.054,0.307,0.211,0.126,100,0,-14,AUDCAD=X
99,0.110,0.162,0.294,0.230,100,0,-11,AUDNZD=X
75,0.171,-0.028,-0.563,0.027,100,5,-13,EURNZD=X
14,0.131,-0.384,-2.273,-1.959,100,12,-2,GBPAUD=X
2,-0.153,-0.126,-0.633,-0.372,100,11,-1,GBPCHF=X
68,0.176,-0.046,-1.152,-0.186,100,4,-11,GBPNZD=X
57,-0.114,-0.003,1.896,-0.389,100,4,-5,NZDCAD=X
18,-0.183,-0.051,0.265,-0.328,100,21,-4,NZDCHF=X
85,-0.089,0.589,0.450,-1.505,100,7,-15,NZDJPY=X
2,-0.179,-0.057,-0.492,-0.487,100,19,-1,CADCHF=X
1,-0.130,-0.025,-0.595,-0.334,100,20,-0,NOK=X
3,-0.148,-0.144,-0.133,-0.099,100,26,-2,SEK=X
24,-0.167,-0.276,0.890,2.299,100,8,-3,NOKSEK=X
1,0.033,-0.086,-2.333,-2.096,100,8,-1,EURNOK=X
3,-0.148,-0.289,-0.075,-0.224,100,11,-1,EURSEK=X
100,0.185,0.156,0.189,0.334,100,0,-42,TRY=X
16,0.017,-0.257,-0.140,-0.285,100,23,-5,MXN=X
1,-0.139,-0.114,-0.744,-0.367,100,9,-0,SGD=X
80,0.166,-0.121,-0.674,-0.394,100,2,-10,GBPCAD=X
97,0.082,0.323,0.017,-0.837,100,2,-31,ZARJPY=X
11,-0.135,-0.325,-0.039,-0.624,100,4,-2,EURPLN=X
2,-0.125,-0.160,-0.366,0.093,100,27,-1,HUF=X
1,-0.040,-0.305,-0.488,0.049,100,10,-0,EURHUF=X
2,-0.073,-0.173,-0.538,0.104,100,15,-1,GBPHUF=X
31,0.047,-0.249,-0.119,1.713,100,8,-7,CHFHUF=X
2,-0.149,-0.159,-0.410,-0.022,100,17,-2,PLN=X
3,-0.137,-0.072,-0.770,-0.011,100,16,-1,DKK=X
96,0.137,0.147,0.061,0.706,100,0,-1,EURDKK=X
2,-0.142,-0.110,-0.572,-0.000,100,20,-1,CZK=X
18,-0.093,-0.090,-0.297,2.284,100,74,-0,SB=F
19,-0.102,-0.041,-0.417,2.965,100,66,-2,CT=F
0,-0.093,-0.259,-0.186,-0.329,100,251,0,CC=F
64,-0.127,0.186,1.934,8.736,100,28,-11,ZW=F
0,0.000,0.000,0.000,0.000,100,28,-11,WISGP.SI
97,0.133,0.204,-0.104,-0.656,100,3,-50,M2K=F
9,-0.150,-0.147,-0.587,0.816,100,202,-34,OJ=F
0,0.000,0.000,0.000,0.000,100,202,-34,OATS5.MI
31,-0.107,-0.029,0.289,4.384,100,77,-6131,ZR=F
22,-0.127,0.027,0.717,2.206,20,18,-6,CORN
61,-0.128,0.191,2.151,1.102,100,19,-12,SOYB.MI
61,-0.144,-0.285,1.397,3.728,100,32,-27,RB=F
43,-0.069,0.019,-0.237,-3.791,100,22,-16,HO=F
99,0.178,-0.029,0.659,1.026,100,0,-40,LE=F
2,-0.001,-0.000,-0.000,-0.000,200,0,0,HET=F
98,0.168,0.172,0.062,-0.303,28,1,-38,LEAD
81,0.015,0.555,0.521,-0.249,100,30,-105,HINDZINC.BO
37,-0.172,-0.028,1.374,-0.216,72,134,-51,BRE3L.MI
97,0.031,0.310,-0.176,0.503,64,12,-149,NIKL
98,0.115,0.433,-0.123,0.232,100,4,-43,ALI=F
94,-0.047,0.525,-0.155,-0.680,46,7,-73,COAL
99,0.050,0.361,0.136,-0.176,38,4,-56,5463.T
4,-0.081,-0.355,0.213,-0.380,100,55,-3,DC=F
79,0.049,-0.053,0.104,10.959,100,16,-43,LBR=F
0,0.000,0.000,0.000,0.000,100,16,-43,7F=F
0,0.000,0.000,0.000,0.000,100,16,-43,^SPGDEPY
1,-0.158,-0.198,-0.203,-0.361,100,24,-1,ILS=X
2,-0.115,-0.250,-0.185,-0.553,100,20,-1,GBPILS=X
6,-0.110,-0.123,-0.192,-0.361,100,16,-6,EURILS=X
3,-0.054,-0.309,-0.003,0.033,100,22,-4,COP=X
3,-0.038,-0.748,-0.181,0.071,100,18,-1,CLP=X
75,0.121,0.322,-0.508,-3.361,100,3,-10,KRW=X
16,0.014,-0.068,-0.580,0.131,100,21,-6,BRL=X
