initial date: 2024-02-17, Fecha actual: 2026-02-17
percentil(%),pendent2y,pendent6m,slope1m,slope6d,volatilitat(%),guany esperat(%),perdua max(%),rsi14,relVol30,etiqueta
98,0.133,0.045,0.746,-0.011,100,1,-16,48.0,-1.00,EURUSD=X
96,0.135,0.032,0.849,-0.148,100,1,-12,46.5,-1.00,GBPUSD=X
71,-0.100,0.112,2.111,-0.318,100,5,-9,56.8,-1.00,NZDUSD=X
21,0.068,-0.280,-2.283,0.318,100,8,-2,45.0,-1.00,CAD=X
64,-0.014,0.495,-1.108,-5.709,100,5,-9,47.1,-1.00,JPY=X
2,-0.155,-0.105,-0.553,-0.060,100,19,-1,43.0,-1.00,CHF=X
99,-0.012,0.380,0.587,0.148,100,1,-19,61.6,-1.00,AUDUSD=X
85,0.096,-0.009,0.165,0.335,100,2,-6,52.8,-1.00,EURGBP=X
1,-0.153,-0.217,-0.443,-0.302,100,9,0,31.2,-1.00,EURCHF=X
92,0.104,0.173,-0.146,-2.013,100,2,-17,44.1,-1.00,EURJPY=X
93,0.104,0.240,-0.143,-1.612,100,2,-14,44.3,-1.00,GBPJPY=X
52,0.140,-0.306,-0.517,-0.444,100,10,-5,32.0,-1.00,EURAUD=X
83,0.170,-0.089,-0.433,0.313,100,2,-11,34.9,-1.00,EURCAD=X
98,-0.017,0.557,0.340,-0.455,100,2,-25,60.1,-1.00,AUDJPY=X
79,-0.041,0.558,-0.061,-3.921,100,5,-11,50.7,-1.00,CADJPY=X
98,0.140,0.167,0.119,-0.664,100,2,-20,53.8,-1.00,CHFJPY=X
36,-0.176,-0.072,1.020,-0.856,100,33,-16,52.7,0.29,BZ=F
98,0.194,0.208,0.071,-0.062,100,6,-148,48.2,7.22,GC=F
95,0.186,0.198,-0.229,-0.425,100,50,-242,32.7,27.97,SI=F
94,0.142,0.466,0.031,-0.879,100,7,-51,48.0,10.46,HG=F
49,0.145,0.335,-2.237,-0.006,100,141,-97,20.5,0.24,NG=F
0,0.000,0.000,0.000,0.000,100,141,-97,20.5,0.24,^UUP-IV
0,0.124,-0.252,-2.166,-10.687,100,5,-21,11.5,0.00,^CLTBDIOOR
0,0.015,-0.208,-1.509,-10.497,100,21,-9,5.3,0.00,^CLTBGUCCI
0,0.031,0.183,-2.334,-9.350,100,27,-29,5.3,0.00,^CLTBZNITH
0,-0.096,-0.030,0.345,-5.170,100,33,-22,12.8,0.00,^CLTBVACRN
75,-0.045,0.183,1.285,0.526,100,0,-1,81.0,-1.00,HKD=X
93,0.158,0.206,-0.349,-0.363,100,39,-134,30.0,76.02,PL=F
96,0.132,0.232,-0.281,0.096,100,23,-115,44.9,299.64,PA=F
3,-0.137,-0.226,-0.138,0.011,100,24,-7,48.4,-1.00,ZAR=X
3,-0.141,-0.290,-0.007,0.313,100,48,-4,51.3,-1.00,RUB=X
0,0.000,0.000,0.000,0.000,100,48,-4,51.3,-1.00,CNH=X
43,-0.163,0.231,0.355,0.027,100,12,-8,57.4,-1.00,AUDCHF=X
100,0.053,0.308,0.212,0.126,100,0,-14,64.2,-1.00,AUDCAD=X
99,0.110,0.162,0.295,0.230,100,0,-11,68.4,-1.00,AUDNZD=X
75,0.172,-0.028,-0.559,0.104,100,5,-13,39.3,-1.00,EURNZD=X
15,0.131,-0.384,-2.257,-1.782,100,12,-2,26.6,-1.00,GBPAUD=X
2,-0.154,-0.127,-0.635,-0.417,100,11,-1,37.4,-1.00,GBPCHF=X
69,0.176,-0.046,-1.147,-0.104,100,4,-11,31.5,-1.00,GBPNZD=X
56,-0.115,-0.004,1.883,-0.526,100,4,-5,55.2,-1.00,NZDCAD=X
17,-0.183,-0.052,0.246,-0.570,100,21,-4,50.3,-1.00,NZDCHF=X
85,-0.089,0.589,0.441,-1.563,100,7,-15,53.0,-1.00,NZDJPY=X
1,-0.180,-0.057,-0.496,-0.526,100,19,-1,45.1,-1.00,CADCHF=X
1,-0.130,-0.025,-0.597,-0.335,100,21,-0,37.1,-1.00,NOK=X
3,-0.149,-0.144,-0.133,-0.088,100,26,-2,49.7,-1.00,SEK=X
26,-0.167,-0.276,0.924,2.660,100,8,-3,79.7,-1.00,NOKSEK=X
1,0.032,-0.086,-2.329,-2.056,100,8,-1,29.6,-1.00,EURNOK=X
3,-0.149,-0.290,-0.075,-0.214,100,11,-1,48.2,-1.00,EURSEK=X
100,0.186,0.157,0.189,0.335,100,0,-42,72.8,-1.00,TRY=X
16,0.016,-0.258,-0.135,-0.230,100,23,-5,43.2,-1.00,MXN=X
2,-0.139,-0.115,-0.742,-0.307,100,9,-0,41.0,-1.00,SGD=X
80,0.166,-0.121,-0.675,-0.395,100,2,-10,37.3,-1.00,GBPCAD=X
96,0.081,0.324,0.008,-0.921,100,2,-30,49.0,-1.00,ZARJPY=X
15,-0.135,-0.325,0.008,-0.099,100,4,-2,54.8,-1.00,EURPLN=X
2,-0.126,-0.160,-0.367,0.093,100,26,-1,44.4,-1.00,HUF=X
1,-0.041,-0.304,-0.489,0.049,100,10,-0,33.8,-1.00,EURHUF=X
2,-0.073,-0.173,-0.542,0.066,100,16,-0,35.2,-1.00,GBPHUF=X
31,0.047,-0.250,-0.117,1.744,100,8,-7,52.4,-1.00,CHFHUF=X
3,-0.149,-0.159,-0.403,0.066,100,17,-2,53.2,-1.00,PLN=X
3,-0.137,-0.072,-0.765,0.044,100,16,-1,52.4,-1.00,DKK=X
96,0.137,0.147,0.061,0.707,100,0,-1,60.0,-1.00,EURDKK=X
3,-0.143,-0.110,-0.570,0.027,100,20,-2,52.4,-1.00,CZK=X
17,-0.095,-0.091,-0.298,2.268,100,74,-0,49.2,1.70,SB=F
19,-0.103,-0.041,-0.419,2.951,100,66,-2,49.7,1.07,CT=F
0,-0.095,-0.258,-0.186,-0.329,100,251,0,24.6,0.66,CC=F
65,-0.127,0.186,1.937,8.753,100,28,-11,66.6,2.03,ZW=F
0,0.000,0.000,0.000,0.000,100,28,-11,66.6,2.03,WISGP.SI
96,0.133,0.204,-0.115,-0.782,100,3,-49,46.0,0.19,M2K=F
9,-0.150,-0.148,-0.588,0.818,100,202,-34,36.7,1.40,OJ=F
0,0.000,0.000,0.000,0.000,100,202,-34,36.7,1.40,OATS5.MI
31,-0.108,-0.029,0.289,4.375,100,77,-6131,50.0,1.41,ZR=F
22,-0.127,0.027,0.718,2.210,20,18,-6,62.7,0.68,CORN
62,-0.127,0.195,2.399,2.812,100,18,-12,73.0,1.06,SOYB.MI
64,-0.144,-0.285,1.431,4.076,100,31,-28,70.6,0.17,RB=F
49,-0.068,0.022,-0.162,-2.976,100,20,-18,34.1,0.18,HO=F
99,0.179,-0.029,0.660,1.028,100,0,-40,66.4,0.19,LE=F
2,-0.001,-0.000,0.000,-0.000,200,0,0,100.0,1.72,HET=F
98,0.168,0.172,0.062,-0.303,28,1,-38,52.8,0.55,LEAD
81,0.014,0.550,-0.760,-1.128,100,30,-105,25.5,0.33,HINDZINC.BO
39,-0.172,-0.021,1.197,-0.471,72,125,-56,57.1,0.12,BRE3L.MI
97,0.031,0.310,-0.176,0.504,64,12,-149,37.8,0.34,NIKL
96,0.114,0.433,-0.148,-0.062,100,5,-42,42.3,9.20,ALI=F
94,-0.047,0.524,-0.155,-0.681,46,7,-73,44.6,1.11,COAL
99,0.051,0.359,0.137,-0.176,38,4,-56,56.9,0.99,5463.T
4,-0.083,-0.354,0.213,-0.381,100,55,-3,61.3,0.70,DC=F
79,0.049,-0.053,0.103,10.948,100,16,-43,50.0,0.74,LBR=F
0,0.000,0.000,0.000,0.000,100,16,-43,50.0,0.74,7F=F
0,0.000,0.000,0.000,0.000,100,16,-43,50.0,0.74,^SPGDEPY
2,-0.159,-0.199,-0.197,-0.230,100,24,-1,42.7,-1.00,ILS=X
3,-0.116,-0.250,-0.170,-0.340,100,20,-1,36.0,-1.00,GBPILS=X
6,-0.110,-0.124,-0.186,-0.263,100,15,-7,40.6,-1.00,EURILS=X
3,-0.055,-0.308,-0.003,0.033,100,22,-4,46.8,-1.00,COP=X
3,-0.037,-0.749,-0.181,0.071,100,17,-1,48.0,-1.00,CLP=X
76,0.120,0.323,-0.488,-3.137,100,3,-10,50.3,-1.00,KRW=X
16,0.013,-0.068,-0.580,0.186,100,21,-6,42.2,-1.00,BRL=X
87,0.070,0.111,1.914,5.543,77,147,-79,64.6,-1.00,^VIX
83,0.135,0.236,0.802,-2.811,42,12,-55,50.3,1.05,AAPL
89,0.149,0.190,-0.284,-1.534,62,13,-131,24.0,0.86,GOOG
62,0.164,-0.279,0.677,-1.970,46,23,-49,42.1,0.73,META
11,0.113,-0.405,-3.521,-1.197,35,35,-13,24.9,0.89,MSFT
43,0.156,0.052,-2.693,-2.353,37,28,-23,16.7,1.24,AMZN
95,0.019,0.656,1.077,-0.295,100,11,-156,49.9,0.87,0HCB.L
90,0.156,0.300,0.000,-0.000,38,0,-62,100.0,-1.00,AEC1D.XC
97,0.109,0.039,-0.206,-0.274,45,4,-73,43.6,1.38,BA.NE
0,0.000,0.000,0.000,0.000,45,4,-73,43.6,1.38,MER-PK
88,0.120,0.212,-0.000,-0.000,54,9,-102,100.0,-1.00,CAT1.BE
86,0.185,0.284,0.607,-3.556,48,13,-71,53.1,0.02,CSCO.MX
100,-0.008,0.153,0.276,0.149,28,1,-37,74.2,0.72,CVX
37,0.061,-0.279,-1.479,-1.758,34,18,-29,42.1,1.04,DIS
98,-0.031,0.673,1.328,4.967,27,2,-34,77.4,30.00,49P.F
48,-0.040,-0.480,0.616,3.717,30,24,-15,60.3,0.00,HD.VI
61,0.065,-0.166,1.467,-3.457,51,22,-67,59.2,0.00,2HP.DU
70,0.187,0.268,-0.705,-4.878,48,20,-60,34.0,1.29,IBM
96,0.018,0.378,0.034,-0.670,67,16,-158,60.0,0.53,INTC
100,0.134,0.191,0.199,0.143,42,0,-71,88.7,1.46,JNJ
80,0.194,0.116,-0.092,-3.372,63,16,-133,44.7,0.51,JPM.BA
95,0.092,0.395,-0.081,-0.058,34,5,-45,53.9,0.28,EMBONOR-B.SN
98,0.181,0.158,0.604,0.006,44,3,-74,57.8,0.93,MCD.BA
99,0.190,0.138,0.625,0.189,56,2,-125,66.5,0.73,MMM
98,-0.037,0.611,0.557,0.018,55,6,-110,69.2,1.46,MRK.BA
71,-0.130,0.256,1.576,0.762,31,14,-28,63.7,0.71,PFE
39,-0.119,-0.127,1.946,2.107,23,12,-16,75.4,1.20,PG
0,-0.160,-0.301,-0.286,-0.223,87,650,-7,4.6,0.46,ATOS
94,0.141,0.223,2.752,-0.294,27,3,-34,62.8,-1.00,PA9.DU
7,-0.132,-0.071,-1.621,0.767,62,113,-23,28.7,0.94,UNH
0,0.000,0.000,0.000,0.000,62,113,-23,28.7,0.94,^RTX
2,-0.081,-0.477,0.000,-0.000,22,25,-3,100.0,-1.00,BAC.BE
100,0.192,0.234,0.182,0.115,57,0,-131,77.6,0.62,WMT
99,0.005,0.608,0.199,-0.040,36,5,-49,68.5,0.95,XOM
91,0.185,0.179,0.055,-2.010,56,12,-101,42.7,1.15,C
0,0.001,0.048,1.710,-13.268,100,13,-19,50.0,0.00,HMCN.MX
44,-0.051,-0.049,0.390,0.283,35,18,-30,41.4,0.00,MUF.MU
24,0.104,-0.372,-0.008,-2.365,28,26,-10,49.1,0.88,MAST.VI
11,-0.168,-0.268,-0.431,0.045,52,84,-13,49.6,0.06,1NKE.MI
55,-0.129,0.088,2.502,-1.120,33,22,-22,76.2,0.16,PEPB34.SA
47,0.163,-0.409,-0.210,0.900,47,31,-45,68.8,0.00,SONA.SG
87,-0.063,0.433,0.623,0.164,42,17,-47,64.3,1.69,TOMA.SG
43,0.150,-0.145,-0.029,-1.884,32,19,-24,39.0,1.41,V
99,0.151,0.185,0.209,0.079,45,1,-82,67.7,0.00,VODJ.SG
0,0.086,0.058,-1.986,-22.715,100,2,-27,40.1,-1.00,0P00001487.F
6,-0.165,-0.214,0.004,-1.267,47,81,-4,42.2,0.40,COLPAL.NS
75,0.190,-0.069,-1.023,-1.895,57,22,-89,28.5,1.32,EBAY
92,0.194,0.200,0.000,-0.000,89,4,-793,100.0,-1.00,ENR.BE
1,-0.064,-0.400,-0.612,-0.120,56,117,-6,26.9,1.19,OWL
29,0.124,-0.342,-0.167,-2.577,14,9,-8,38.7,2.24,LBRDP
1,-0.061,-0.364,-0.862,-0.254,53,106,-3,14.0,1.24,TTAN
98,0.015,0.764,-0.375,1.477,41,3,-63,45.0,0.61,OPCH
25,-0.096,0.194,0.000,-0.000,63,99,-35,100.0,-1.00,0L8.BE
44,-0.157,0.249,0.316,0.107,49,37,-45,63.3,-1.00,1GSN.SG
58,0.144,0.031,-1.772,0.281,39,18,-39,36.0,0.89,PRVA
96,0.020,0.544,-0.101,-0.636,73,13,-234,45.7,1.02,BTU
1,-0.155,-0.121,-2.389,-1.709,60,150,-1,21.3,30.00,JXC1.F
0,0.000,0.000,0.000,0.000,60,150,-1,21.3,30.00,OWY.F
